2026-02-24 14:48:48,230 | INFO | web_scraping_logger | Scraping article data from link: https://investors.tranetechnologies.com/news-and-events/news-releases/news-release-details/2026/Trane-Technologies-to-Present-at-the-Citi-Global-Industrial-Tech-and-Mobility-Conference/default.aspx
2026-02-24 14:48:48,230 | INFO | web_scraping_logger | Scraping article data from link: https://investors.tranetechnologies.com/news-and-events/news-releases/news-release-details/2026/Trane-Technologies-to-Present-at-the-Citi-Global-Industrial-Tech-and-Mobility-Conference/default.aspx
2026-02-24 14:48:48,230 | INFO | web_scraping_logger | Scraping article data from link: https://investors.tranetechnologies.com/news-and-events/news-releases/news-release-details/2026/Trane-Technologies-to-Present-at-the-Citi-Global-Industrial-Tech-and-Mobility-Conference/default.aspx
2026-02-24 14:48:48,741 | INFO | web_scraping_logger | Scraping article data from link: https://investors.tranetechnologies.com/news-and-events/news-releases/news-release-details/2026/Trane-Technologies-Increases-Dividend-by-12-Declares-Quarterly-Dividend/default.aspx
2026-02-24 14:48:48,741 | INFO | web_scraping_logger | Scraping article data from link: https://investors.tranetechnologies.com/news-and-events/news-releases/news-release-details/2026/Trane-Technologies-Increases-Dividend-by-12-Declares-Quarterly-Dividend/default.aspx
2026-02-24 14:48:48,741 | INFO | web_scraping_logger | Scraping article data from link: https://investors.tranetechnologies.com/news-and-events/news-releases/news-release-details/2026/Trane-Technologies-Increases-Dividend-by-12-Declares-Quarterly-Dividend/default.aspx
2026-02-24 14:48:49,319 | INFO | web_scraping_logger | Web scraping and data compilation complete. saving compiled data to excel file.
2026-02-24 14:48:49,319 | INFO | web_scraping_logger | Web scraping and data compilation complete. saving compiled data to excel file.
2026-02-24 14:48:49,319 | INFO | web_scraping_logger | Web scraping and data compilation complete. saving compiled data to excel file.
2026-02-24 14:48:50,433 | INFO | web_scraping_logger | Initiating the api push process
2026-02-24 14:48:50,433 | INFO | web_scraping_logger | Initiating the api push process
2026-02-24 14:48:50,433 | INFO | web_scraping_logger | Initiating the api push process
2026-02-24 14:56:29,609 | INFO | web_scraping_logger | Starting the web scraping pipeline.
2026-02-24 14:56:29,609 | INFO | web_scraping_logger | Starting the web scraping pipeline.
2026-02-24 14:56:29,609 | INFO | web_scraping_logger | Starting the web scraping pipeline.
2026-02-24 15:31:39,287 | INFO | web_scraping_logger | Starting the web scraping pipeline.
2026-02-24 15:31:39,287 | INFO | web_scraping_logger | Starting the web scraping pipeline.
2026-02-24 15:31:39,287 | INFO | web_scraping_logger | Starting the web scraping pipeline.
2026-02-24 15:31:45,195 | INFO | web_scraping_logger | fetching base natural refrigerants html from url: https://naturalrefrigerants.com/news/
2026-02-24 15:31:45,195 | INFO | web_scraping_logger | fetching base natural refrigerants html from url: https://naturalrefrigerants.com/news/
2026-02-24 15:31:45,195 | INFO | web_scraping_logger | fetching base natural refrigerants html from url: https://naturalrefrigerants.com/news/
2026-02-24 15:31:46,474 | INFO | web_scraping_logger | Extracting sub article links from base NR html
2026-02-24 15:31:46,474 | INFO | web_scraping_logger | Extracting sub article links from base NR html
2026-02-24 15:31:46,474 | INFO | web_scraping_logger | Extracting sub article links from base NR html
2026-02-24 15:31:46,494 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/frascolds-new-nexus-screw-compressor-for-high-temperature-heat-pump-applications-can-work-with-butane-and-isopentane/
2026-02-24 15:31:46,494 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/frascolds-new-nexus-screw-compressor-for-high-temperature-heat-pump-applications-can-work-with-butane-and-isopentane/
2026-02-24 15:31:46,494 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/frascolds-new-nexus-screw-compressor-for-high-temperature-heat-pump-applications-can-work-with-butane-and-isopentane/
2026-02-24 15:31:47,048 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/part-1-bacs-heat-rejection-and-single-phase-immersion-technology-provide-end-to-end-cooling-solution-for-data-centers/
2026-02-24 15:31:47,048 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/part-1-bacs-heat-rejection-and-single-phase-immersion-technology-provide-end-to-end-cooling-solution-for-data-centers/
2026-02-24 15:31:47,048 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/part-1-bacs-heat-rejection-and-single-phase-immersion-technology-provide-end-to-end-cooling-solution-for-data-centers/
2026-02-24 15:31:47,686 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/johnson-controls-introduces-air-to-water-reversible-york-yas-r290-heat-pump-models-to-the-european-market/
2026-02-24 15:31:47,686 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/johnson-controls-introduces-air-to-water-reversible-york-yas-r290-heat-pump-models-to-the-european-market/
2026-02-24 15:31:47,686 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/johnson-controls-introduces-air-to-water-reversible-york-yas-r290-heat-pump-models-to-the-european-market/
2026-02-24 15:31:48,760 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/part-2-bacs-heat-rejection-and-single-phase-immersion-technology-provide-end-to-end-cooling-solution-for-data-centers/
2026-02-24 15:31:48,760 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/part-2-bacs-heat-rejection-and-single-phase-immersion-technology-provide-end-to-end-cooling-solution-for-data-centers/
2026-02-24 15:31:48,760 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/part-2-bacs-heat-rejection-and-single-phase-immersion-technology-provide-end-to-end-cooling-solution-for-data-centers/
2026-02-24 15:31:49,358 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/eu-launches-e1-8-million-heat-pump-subscription-model-for-leased-commercial-and-public-buildings/
2026-02-24 15:31:49,358 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/eu-launches-e1-8-million-heat-pump-subscription-model-for-leased-commercial-and-public-buildings/
2026-02-24 15:31:49,358 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/eu-launches-e1-8-million-heat-pump-subscription-model-for-leased-commercial-and-public-buildings/
2026-02-24 15:31:50,068 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/hyting-commissions-worlds-first-customer-installed-catalytic-hydrogen-air-heating-system/
2026-02-24 15:31:50,068 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/hyting-commissions-worlds-first-customer-installed-catalytic-hydrogen-air-heating-system/
2026-02-24 15:31:50,068 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/hyting-commissions-worlds-first-customer-installed-catalytic-hydrogen-air-heating-system/
2026-02-24 15:31:50,890 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/hvacr-japan-2026-jexsys-launches-130c-high-temperature-hot-water-co2-heat-pump/
2026-02-24 15:31:50,890 | INFO | web_scraping_logger | Scraping article data from link: https://naturalrefrigerants.com/news/hvacr-japan-2026-jexsys-launches-130c-high-temperature-hot-water-co2-heat-pump/
